"usa-card__heading","usa-card__heading href","clearfix"
"Multifamily Housing Direct Loans","https://www.rd.usda.gov/programs-services/multi-family-housing-direct-loans","This program provides competitive financing for affordable multi-family rental housing for low-income, elderly, or disabled individuals and families in eligible rural areas."
"Multifamily Housing Loan Guarantees","https://www.rd.usda.gov/programs-services/multi-family-housing-loan-guarantees","The program works with qualified private-sector lenders to provide financing to qualified borrowers to increase the supply of affordable rental housing for low- and moderate-income individuals and families in eligible rural areas and towns."
"Off-Farm Labor Direct Loans & Grants","https://www.rd.usda.gov/programs-services/farm-labor-housing-direct-loans-grants","This program provides affordable financing to develop housing for year-round and migrant or seasonal domestic farm laborers."
"On-Farm Labor Housing Loans","https://www.rd.usda.gov/programs-services/multifamily-housing-programs/farm-labor-housing-loans","This program provides affordable financing to develop or rehabilitate affordable rental housing for very-low income domestic, migrant, and seasonal farm laborers."
"Multifamily Housing Preservation & Revitalization (MPR)","https://www.rd.usda.gov/programs-services/multifamily-housing-programs/multifamily-preservation-revitalization-loans-grants","This program restructures loans for existing Rural Rental Housing and Off-Farm Labor Housing projects to help improve and preserve the availability of safe affordable rental housing for low income residents."
"Multifamily Housing Rental Assistance Program","https://www.rd.usda.gov/programs-services/multi-family-housing-rental-assistance","This program provides payments to owners of USDA-financed Rural Rental Housing or Farm Labor Housing projects on behalf of low-income tenants unable to pay their full rent."
"Multifamily Tenant Voucher Program","https://www.rd.usda.gov/programs-services/multifamily-housing-programs/multifamily-tenant-voucher-program","This program provides vouchers to protect eligible tenants in Multifamily Direct Loan properties who may face hardship when a final loan payment is made on the property."
"Multifamily Housing Nonprofit Transfer Technical Assistance Grants","https://www.rd.usda.gov/programs-services/multifamily-housing-programs/multi-family-housing-non-profit-transfer-technical-assistance-grants","USDA Rural Development awards grants to eligible nonprofit organizations and public housing authorities (PHAs) to provide technical assistance (TA) and other services to enable affordable housing preservation through the transfer of Multifamily Housing Direct Loan properties from current owners to nonprofits or PHAs."
"Farm Labor Housing Technical Assistance Grants","https://www.rd.usda.gov/programs-services/multifamily-housing-programs/farm-labor-housing-technical-assistance-grants","USDA Rural Development awards grants to nonprofit organizations to provide technical assistance to applicants for Farm Labor Housing (FLH) loans and grants."
"Section 521 Stand-Alone Rental Assistance","https://www.rd.usda.gov/programs-services/multifamily-housing-programs/section-521-stand-alone-rental-assistance","Decoupling Rental Assistance allows eligible USDA Rural Development Multifamily Housing (MFH) direct loan borrowers to continue receiving long-term rental assistance in exchange for agreeing to preserve and operate their multifamily property as affordable rural housing."
