"usa-card__heading","usa-card__heading href","clearfix"
"Business and Industry Loan Guarantees (B&I)","https://www.rd.usda.gov/programs-services/business-programs/business-industry-loan-guarantees","This program improves the economic health of rural communities by increasing access to business capital through loan guarantees. This loan guarantee program enables commercial lenders to provide affordable financing for rural businesses."
"Timber Production Expansion Guaranteed Loan Program (TPEP)","https://www.rd.usda.gov/timber-production-expansion-guaranteed-loan-program-tpep","The Timber Production Expansion Guaranteed Loan Program (TPEP) provides financial support to qualified lenders whose loan applicants want to establish, reopen, expand, or improve a sawmill or other wood processing facility that process ecosystem restoration byproducts from USDA Forest Service National Forest System lands."
"BioPreferred Program","https://www.biopreferred.gov/BioPreferred/","The goal of the BioPreferred Program is to increase the purchase and use of biobased products through voluntary labeling and certification of the products. The program includes access to mandatory federal purchasing of biobased products."
"Energy Programs","https://www.rd.usda.gov/programs-services/all-programs/energy-programs","Our programs, authorized by the Agricultural Act of 2014, offer funding to complete energy audits, provide renewable energy development assistance, make energy efficiency improvements and install renewable energy systems."
"Agriculture Innovation Center Program","https://www.rd.usda.gov/programs-services/business-programs/agriculture-innovation-center-program","This program makes grants to Agriculture Innovation Centers that may be used by the Centers to provide technical assistance to agricultural producers to help them develop and market value-added agricultural products using a variety of options, except joint marketing efforts."
"Fertilizer Production Expansion Program","https://www.rd.usda.gov/programs-services/business-programs/fertilizer-production-expansion-program","The Fertilizer Product Expansion Program (FPEP) provides grants to help eligible applicants increase or otherwise expand the manufacturing and processing of fertilizer, nutrient alternatives, and other nutrient management products and technologies and their availability in the United States."
"Higher Blends Infrastructure Incentive Program","https://www.rd.usda.gov/programs-services/energy-programs/higher-blends-infrastructure-incentive-program","The purpose of the HBIIP is to increase significantly the sales and use of higher blends of ethanol and biodiesel by expanding the infrastructure for renewable fuels derived from U.S. agricultural products."
"Intermediary Relending Program (IRP)","https://www.rd.usda.gov/programs-services/business-programs/intermediary-relending-program","This program provides 1 percent low-interest loans to local lenders or “intermediaries” that re-lend to businesses to improve economic conditions and create jobs in rural communities."
"Meat and Poultry Processing Expansion Program (MPPEP)","https://www.rd.usda.gov/programs-services/business-programs/meat-and-poultry-processing-expansion-program","The Meat and Poultry Processing Expansion Program (MPPEP) provides grants to help eligible processors expand their capacity."
"Rural Business Development Grants (RBDG)","https://www.rd.usda.gov/programs-services/business-programs/rural-business-development-grants","This program is designed to provide technical assistance and training for small rural businesses. Small means that the business has fewer than 50 new workers and less than $1 million in gross revenue."
"Rural Business Investment Program (RBIP)","https://www.rd.usda.gov/programs-services/business-programs/rural-business-investment-program","This program provides a Rural Business Investment Company (RBIC) license to newly formed developmental capital organizations to help meet the equity capital investment needs in rural communities."
"Rural Cooperative Development Grants (RCDG)","https://www.rd.usda.gov/programs-services/business-programs/rural-cooperative-development-grant-program","The Rural Cooperative Development Grant program improves the economic condition of rural areas by helping individuals and businesses start, expand or improve rural cooperatives and other mutually-owned businesses through Cooperative Development Centers."
"Rural Economic Development Loan and Grant (REDLG)","https://www.rd.usda.gov/programs-services/business-programs/rural-economic-development-loan-grant-programs","The Rural Economic Development Loan and Grant programs provide funding for rural projects through local utility organizations. USDA provides zero-interest loans to local utilities which they, in turn, pass through to local businesses (ultimate recipients) for projects that will create and retain employment in rural areas."
"Rural Innovation Stronger Economy (RISE) Grant Program","https://www.rd.usda.gov/programs-services/business-programs/rural-innovation-stronger-economy-rise-grants","The Rural Innovation Stronger Economy (RISE) Grant Program offers grant assistance to create and augment high-wage jobs, accelerate the formation of new businesses, support industry clusters and maximize the use of local productive assets in eligible low-income rural areas."
"Rural Microentrepreneur Assistance Program (RMAP)","https://www.rd.usda.gov/programs-services/business-programs/rural-microentrepreneur-assistance-program","It provides loans and grants to Microenterprise Development Organizations (MDOs) to:"
"Strategic Economic and Community Development Program","https://www.rd.usda.gov/programs-services/business-programs/strategic-economic-and-community-development","SECD bolsters participating USDA Rural Development program funds by supporting projects that promote and implement strategic community investment plans."
"Value Added Producer Grants (VAPG)","https://www.rd.usda.gov/programs-services/business-programs/value-added-producer-grants","The Value-Added Producer Grant (VAPG) program helps agricultural producers enter into value-added activities related to the processing and marketing of new products. The goals of this program are to generate new products, create and expand marketing opportunities and increase producer income."
